ID;prey_level;clan_territory;distance
Hy_003;2;I;5904.58127205902
Hy_006;1;I;12003.2054810009
Hy_011;2;I;14049.3381278421
Hy_013;2;I;30844.1546911921
Hy_014;2;I;21097.3102870944
Hy_015;3;I;5289.60939163562
Hy_016;2;I;11922.8141824781
Hy_017;2;I;10110.1613438349
Hy_018;1;I;9438.87974268497
Hy_019;3;I;33283.5892935666
Hy_020;1;I;8328.54061591172
Hy_022;2;I;12740.2073738298
Hy_023;2;I;12448.8329569131
Hy_024;2;I;15384.0317653508
Hy_025;2;I;49265.0790233757
Hy_026;2;I;6954.75238517042
Hy_027;1;I;17029.1235781991
Hy_028;1;I;10417.5567891691
Hy_029;2;I;9545.97313374367
Hy_030;2;I;33283.5892935666
Hy_031;2;I;10501.6541940572
Hy_032;1;I;34681.0752048573
Hy_033;1;I;56526.5301706899
Hy_034;NA;I;40110.2638848502
Hy_035;NA;I;9660.1061787429
Hy_037;2;I;12733.7039646434
Hy_038;1;I;33283.5892935666
Hy_039;3;I;12616.9437408253
Hy_040;NA;I;14624.2035727005
Hy_041;2;I;16360.8487348977
Hy_042;1;I;25744.8100456157
Hy_043;2;I;12908.6203068916
Hy_044;1;I;12121.8446897584
Hy_045;1;I;14475.0959043026
Hy_046;2;I;27694.9434359489
Hy_047;2;I;29588.9814406396
Hy_048;2;I;29588.9814406396
Hy_050;2;I;15365.1900975179
Hy_051;1;I;12592.805384722
Hy_052;2;I;6861.47446848633
Hy_054;1;I;10752.9640950286
Hy_055;1;I;11743.1627564588
Hy_056;1;I;16921.5203953695
Hy_057;1;I;9549.85497728065
Hy_058;1;I;13349.5979837999
Hy_059;2;I;14339.5935519055
Hy_060;1;I;24665.9938717099
Hy_061;1;I;22991.7049480468
Hy_062;3;I;38504.6818221303
Hy_063;1;I;12970.103132459
Hy_064;2;I;11170.960797817
Hy_065;1;I;9901.859501035
Hy_066;3;I;11824.3590404682
Hy_067;2;I;9304.92538099384
Hy_068;1;I;12404.6654058244
Hy_069;2;I;33091.8915939065
Hy_070;1;I;9306.43319218962
Hy_071;2;I;10201.1543569912
Hy_072;2;I;8157.56201996459
Hy_073;2;I;22135.2521593134
Hy_074;2;I;28614.2177671701
Hy_077;1;I;12757.6036514989
Hy_078;1;I;13111.2885584923
Hy_079;2;I;11704.9926520559
Hy_080;1;I;30551.1332663928
Hy_081;1;I;9512.60210041158
Hy_082;1;I;14146.0636421465
Hy_083;2;I;13054.9303401629
Hy_085;3;I;3961.00260530913
Hy_086;2;I;10596.3305692613
Hy_088;1;I;769.235365963237
Hy_089;1;I;769.235365963237
Hy_003;1;M;9794.79459862851
Hy_006;1;M;14935.3994713122
Hy_011;2;M;8513.39158673153
Hy_013;2;M;27974.1990067634
Hy_014;2;M;26403.7591410478
Hy_015;2;M;10249.2558836423
Hy_016;2;M;2880.87869063649
Hy_017;2;M;5792.11568320382
Hy_018;NA;M;10031.4056204304
Hy_019;NA;M;39479.0863133374
Hy_020;1;M;8814.87470217707
Hy_022;2;M;5947.10624793638
Hy_023;3;M;3046.14358736299
Hy_024;2;M;24091.8997580304
Hy_025;2;M;34602.3271399767
Hy_026;2;M;8874.36738922682
Hy_027;1;M;22066.990311057
Hy_028;1;M;4789.91926139234
Hy_029;3;M;5624.25469585917
Hy_030;3;M;39479.0863133374
Hy_031;2;M;6134.67556395031
Hy_032;1;M;40979.9780022458
Hy_033;1;M;61513.6398639149
Hy_034;NA;M;46486.1331959471
Hy_035;NA;M;10714.6352202219
Hy_037;2;M;5096.25303472086
Hy_038;1;M;39479.0863133374
Hy_039;2;M;4568.35068731397
Hy_040;NA;M;11899.4427190183
Hy_041;2;M;6022.23023787361
Hy_042;1;M;31563.2306948048
Hy_043;2;M;6309.23265010422
Hy_044;1;M;16165.2165211695
Hy_045;1;M;19089.2753610745
Hy_046;1;M;18073.8834082851
Hy_047;1;M;24943.7383293178
Hy_048;1;M;24943.7383293178
Hy_050;3;M;14244.7204088504
Hy_051;2;M;6165.85669340605
Hy_052;2;M;9180.05802670288
Hy_054;1;M;4896.72426770478
Hy_055;1;M;24356.4682153019
Hy_056;1;M;21949.8547968934
Hy_057;1;M;5618.53802774288
Hy_058;2;M;9728.94639572907
Hy_059;2;M;11616.7403983443
Hy_060;1;M;30366.8635349582
Hy_061;1;M;9436.20727425727
Hy_062;3;M;44855.1284309489
Hy_063;1;M;6280.84432200644
Hy_064;2;M;19010.2503534885
Hy_065;1;M;11484.5890981314
Hy_066;1;M;4379.90768204804
Hy_067;2;M;8127.63705854028
Hy_068;NA;M;8610.22071564636
Hy_069;NA;M;27587.1122763242
Hy_070;NA;M;9134.41444536371
Hy_071;NA;M;5402.85406241351
Hy_072;NA;M;7677.94973196853
Hy_073;NA;M;21079.2810358583
Hy_074;NA;M;34624.8698197234
Hy_077;2;M;5028.2550334154
Hy_078;1;M;8060.56716251131
Hy_079;2;M;5810.87115425032
Hy_080;1;M;36719.7507478475
Hy_081;1;M;6400.77642425494
Hy_082;1;M;5570.04889247149
Hy_083;2;M;4774.5872271463
Hy_085;3;M;10928.057839673
Hy_086;1;M;4320.39134107885
Hy_088;1;M;14419.3427678833
Hy_089;1;M;14419.3427678833
Hy_003;1;P;10743.9668655431
Hy_006;1;P;19210.7049501114
Hy_011;2;P;5386.90636188309
Hy_013;2;P;32642.7513446971
Hy_014;2;P;30793.5607736507
Hy_015;2;P;13045.5056175808
Hy_016;2;P;5785.64105970474
Hy_017;2;P;6411.79983224417
Hy_018;1;P;14083.1921796805
Hy_019;1;P;43910.743753343
Hy_020;1;P;12524.4935003932
Hy_022;2;P;4212.765259704
Hy_023;2;P;4521.03248896479
Hy_024;2;P;27937.6103798327
Hy_025;2;P;33141.1157823337
Hy_026;2;P;9675.84307267904
Hy_027;1;P;26394.3588300827
Hy_028;1;P;6308.53875847733
Hy_029;3;P;9003.47280117054
Hy_030;3;P;43910.743753343
Hy_031;1;P;6096.91016095286
Hy_032;1;P;45409.9458471436
Hy_033;1;P;66131.0699741926
Hy_034;NA;P;50937.0480157993
Hy_035;NA;P;14810.0436398279
Hy_037;2;P;3886.79874784633
Hy_038;1;P;43910.743753343
Hy_039;2;P;3910.14158472705
Hy_040;NA;P;8670.14938401395
Hy_041;2;P;1547.67196579248
Hy_042;2;P;35967.6965707942
Hy_043;3;P;4284.3558757074
Hy_044;1;P;20373.7899346579
Hy_045;1;P;23370.0227689772
Hy_046;1;P;13465.4966365811
Hy_047;1;P;20314.6557158926
Hy_048;1;P;20314.6557158926
Hy_050;1;P;11012.3424177275
Hy_051;1;P;4442.54266541033
Hy_052;2;P;9857.52244176709
Hy_054;1;P;5824.06652055413
Hy_055;1;P;27284.3679565819
Hy_056;1;P;26275.1428313449
Hy_057;1;P;8997.1830550695
Hy_058;3;P;6922.05221115796
Hy_059;2;P;8470.15797206492
Hy_060;1;P;34770.2677040639
Hy_061;1;P;12157.7364492079
Hy_062;3;P;49300.9823980707
Hy_063;1;P;4220.79210497383
Hy_064;2;P;22805.9663626673
Hy_065;1;P;15610.6407165619
Hy_066;1;P;4725.32734517146
Hy_067;2;P;12063.5265490321
Hy_068;NA;P;13161.7269239633
Hy_069;2;P;22881.2293007222
Hy_070;1;P;13134.9721813779
Hy_071;1;P;6350.41216541522
Hy_072;2;P;11097.5887786818
Hy_073;2;P;17120.9228126045
Hy_074;2;P;39039.0163334271
Hy_077;1;P;3847.88517654191
Hy_078;1;P;5479.04303868444
Hy_079;2;P;10215.800623108
Hy_080;2;P;41134.224255784
Hy_081;1;P;10121.7651124208
Hy_082;1;P;2850.11442804321
Hy_083;2;P;3516.30932066461
Hy_085;2;P;12575.379734057
Hy_086;1;P;6455.83069171481
Hy_088;2;P;16371.932469488
Hy_089;2;P;16371.932469488
